path,category,location_class,write_hits,read_hits,size_bytes,modified_utc,sha256
04_OPERATION/recipe_master/backups/drycured-recipe-view-v1_before_data_adapter_preview_2026-06-17_16-10-01.php,RENDERER_UI_PROTECTED,OTHER_SCRIPT_LOCATION,,get_post_meta,266117,2026-06-17T16:10:01.196598+00:00,37d4ad76c5f49c6c218c8090bdf92ad9d75ff3d9f1b485d068a75079b30fd7a0
04_OPERATION/recipe_master/backups/drycured-recipe-view-v1_before_dcv40_early_return_fix_2026-06-17_16-15-27.php,RENDERER_UI_PROTECTED,OTHER_SCRIPT_LOCATION,,get_post_meta,277527,2026-06-17T16:15:27.869983+00:00,a959aea34cad507a8955fd383c1481a9f120df5af2cada284347366ee33d09b9
04_OPERATION/recipe_master/backups/drycured-recipe-view-v1_before_dcv40_public_2976_2026-06-17_16-26-43.php,RENDERER_UI_PROTECTED,OTHER_SCRIPT_LOCATION,,get_post_meta,278216,2026-06-17T16:26:43.368422+00:00,4f2cae19d40c1ae63cc30b54fb9f9a69dd749ac2006dada29bf15360c4754b88
04_OPERATION/recipe_master/backups/drycured-recipe-view-v1_before_dcv40_quick_fix_2026-06-17_16-23-15.php,RENDERER_UI_PROTECTED,OTHER_SCRIPT_LOCATION,,get_post_meta,277752,2026-06-17T16:23:15.858665+00:00,195c40cfb2df55177f1b183c518836a257a5f4216de325737003d18f0d02c5fc
04_OPERATION/recipe_master/backups/drycured-recipe-view-v1_before_dcv40_sensor_profile_fix_2026-06-17_16-40-03.php,RENDERER_UI_PROTECTED,OTHER_SCRIPT_LOCATION,,get_post_meta,278372,2026-06-17T16:40:03.665791+00:00,63738b60a092456e4335dbff2d95d2524faff351ac192fcbb1a8847365906c71
04_OPERATION/recipe_master/backups/drycured-recipe-view-v1_before_dcv41_nitrite_safety_2026-06-17_16-56-19.php,RENDERER_UI_PROTECTED,OTHER_SCRIPT_LOCATION,,get_post_meta,278049,2026-06-17T16:56:19.426252+00:00,dc78bbcf8de158293b787f282aabb65b1c79e4e1a5a07ab7ae876668b95d7542
04_OPERATION/recipe_master/backups/drycured-recipe-view-v1_before_dcv42_phase_timeframes_2026-06-18_17-02-21.php,RENDERER_UI_PROTECTED,OTHER_SCRIPT_LOCATION,,get_post_meta,281490,2026-06-18T17:02:21.081596+00:00,423ff9ce5acf9768ce52204a5e17b71bfd634ac15325365b326e254b0cd37bb0
04_OPERATION/recipe_master/backups/drycured-recipe-view-v1_before_dcv43_visible_timeline_2026-06-18_17-11-01.php,RENDERER_UI_PROTECTED,OTHER_SCRIPT_LOCATION,,get_post_meta,281890,2026-06-18T17:11:01.338679+00:00,399d3dd44e37585ee3547d2eae7cae53d9d119b3a92774632ebeb26fd7bea881
04_OPERATION/recipe_master/backups/drycured-recipe-view-v1_before_dcv44_smoking_cycle_duration_2026-06-18_17-18-00.php,RENDERER_UI_PROTECTED,OTHER_SCRIPT_LOCATION,,get_post_meta,282589,2026-06-18T17:18:00.707930+00:00,a500d728e0cbfced0204de87edadbc417afbb9f12dfe258e9b9a32ba03dcaad9
04_OPERATION/recipe_master/backups/drycured-recipe-view-v1_before_nitrite_note_display_fix_2026-06-18_16-33-18.php,RENDERER_UI_PROTECTED,OTHER_SCRIPT_LOCATION,,get_post_meta,280846,2026-06-18T16:33:18.659862+00:00,669325f9fa98774318aecc220592e40d6e89a1a062dcf2c1ec205964676d3f1e
04_OPERATION/recipe_master/reports/type_router_readonly_audit_v1_2026-06-18_17-46-43/backup_tool_before_comment_cleanup.php,WP_WRITE_CAPABLE,GENERATED_WORK_ARTIFACT,wp_insert_post; wp_update_post; update_post_meta,get_post(; get_posts(; get_post_meta; wp_remote_get,25597,2026-06-18T17:46:43.282850+00:00,61e10ab24e65600298656c3ff9586f9ed392173e9fa8180929ae28b18c4fc2f4
04_OPERATION/recipe_master/reports/type_router_readonly_audit_v1_2026-06-18_17-46-43/tool_code_without_comments.php,READ_ONLY_OR_AUDIT_LIKELY,GENERATED_WORK_ARTIFACT,,get_post(; get_posts(; get_post_meta; wp_remote_get,25107,2026-06-18T17:50:55.181830+00:00,bbd7f503690a4168b00596408a6d9e75a00a65565978850a8f59cb9045d693d0
04_OPERATION/recipe_master/tools/dc_recipe_1982_create_private_clone_v1.php,WP_WRITE_CAPABLE,TOOL,wp_insert_post; update_post_meta,get_post(; get_posts(; get_post_meta; wp_remote_get,20236,2026-06-19T17:29:58.587728+00:00,1735ce7d915d2b8206f4c7efd7d9539ca3734297ed9edee9b4702a68c813b1f4
04_OPERATION/recipe_master/tools/dc_recipe_1982_generate_preview_payload_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,17196,2026-06-19T17:27:15.343359+00:00,23772d6aead39fa7348ff4d8ad2a3cb7d4a031588b9139f075f7389c2a8e51ca
04_OPERATION/recipe_master/tools/dc_recipe_1982_pilot_closure_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,8378,2026-06-19T17:35:20.049367+00:00,99b87d0eed3ef52a0322d4930b3136f8ae0072353263d7676681a794197b65bf
04_OPERATION/recipe_master/tools/dc_recipe_1982_quick_intake_v1.php,READ_ONLY_OR_AUDIT_LIKELY,TOOL,,get_post(; get_post_meta; wp_remote_get,13198,2026-06-19T17:02:34.114092+00:00,af6debe652782a241166ff3510388cc5f24ae85afbb190d0d583c3d8b80357af
04_OPERATION/recipe_master/tools/dc_recipe_1982_recipe_yml_draft_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,26448,2026-06-19T17:15:50.028201+00:00,a4058a56ad4772c7bc00caa045b2ea73d45e8778ec73371a721fb0cb3a79cef6
04_OPERATION/recipe_master/tools/dc_recipe_1982_recipe_yml_internal_qa_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,15955,2026-06-19T17:23:10.963249+00:00,fda7fe793fe1c5ba07427febc208cc64aa4e3b352f4a9d74032db5db7aa82e00
04_OPERATION/recipe_master/tools/dc_recipe_1982_source_validation_repair_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,15839,2026-06-19T17:11:20.159134+00:00,d033195e819f1e26fe4f377827374c88f06e2f6fd1638ae120087db9775920f4
04_OPERATION/recipe_master/tools/dc_recipe_1982_source_validation_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,12676,2026-06-19T17:08:56.881035+00:00,ef6b4a22ef0168663e738535be055d426f4f4a5c49b0b7fcef85559e5214126e
04_OPERATION/recipe_master/tools/dc_recipe_2697_create_private_clone_v1.php,WP_WRITE_CAPABLE,TOOL,wp_insert_post; update_post_meta,get_post(; get_post_meta; wp_remote_get,14881,2026-06-19T19:01:23.613517+00:00,82337d1efe8a68b67da0fc809eefce7b47b75d06625ae479044020fbeb1993f6
04_OPERATION/recipe_master/tools/dc_recipe_2697_generate_preview_payload_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,18480,2026-06-19T18:54:39.585252+00:00,2fe2cdb14cbeda7b41b465caf3792744fb3ea0a91ded0d41adea2ef773946f33
04_OPERATION/recipe_master/tools/dc_recipe_2697_quick_intake_v1.php,READ_ONLY_OR_AUDIT_LIKELY,TOOL,,get_post(; get_post_meta; wp_remote_get,14498,2026-06-19T18:09:29.638795+00:00,c8f58d496a8a1d9f4723961ba7fb564666ddef710e81478081e77f632e7dc208
04_OPERATION/recipe_master/tools/dc_recipe_2697_recipe_yml_draft_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,23674,2026-06-19T18:40:58.157027+00:00,4ed21c6cf05eee806424f714f5c2e955257d9f27f3b7c1f6c591dd491d2f5de1
04_OPERATION/recipe_master/tools/dc_recipe_2697_recipe_yml_internal_qa_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,16643,2026-06-19T18:48:00.373230+00:00,7c6d62844964421864bf7e538cab06a746f9b50cfc1a36269ef1d3548313a0fa
04_OPERATION/recipe_master/tools/dc_recipe_2697_source_validation_repair_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,19096,2026-06-19T18:33:37.287661+00:00,b50bb3fff63e19afcda3ea5d54dc1aae879feb4848bcb0943a5292e5ee4d286b
04_OPERATION/recipe_master/tools/dc_recipe_2697_source_validation_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,15629,2026-06-19T18:29:44.536868+00:00,cc83ab53d19e2b2f07c998aa02765c0c8af2d525b1b13540cf91b682c23e54dd
04_OPERATION/recipe_master/tools/dc_recipe_3042_create_private_preview_clone_v1.php,WP_WRITE_CAPABLE,TOOL,wp_insert_post; update_post_meta,get_post(; get_posts(; get_post_meta,10261,2026-06-18T18:47:41.518110+00:00,63d7fc74349435ef36d189459b2c96f75331e80b001c5b221551af0d7a18c36a
04_OPERATION/recipe_master/tools/dc_recipe_3042_dossier_intake_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,10588,2026-06-18T18:06:59.594493+00:00,d42c95dcb86b0306730cbedc9680ce039ce44aeb48700fd4ab9cbadc60ee95d3
04_OPERATION/recipe_master/tools/dc_recipe_3042_private_clone_readonly_qa_v1.php,READ_ONLY_OR_AUDIT_LIKELY,TOOL,,get_post(; get_post_meta; wp_remote_get,12486,2026-06-18T19:00:42.489353+00:00,37a16e145f62dddf9579ec03d03af367e33384287fa300c811ecb2177b520c83
04_OPERATION/recipe_master/tools/dc_recipe_3042_private_preview_adapter_dryrun_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,14591,2026-06-18T18:27:54.793394+00:00,e541cef65f15420fd5ae7c6b44bfe81876d1a878462148ad4d3858a76d1e3e26
04_OPERATION/recipe_master/tools/dc_recipe_3042_private_wp_preview_plan_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,15486,2026-06-18T18:45:14.442925+00:00,b80a82941fa33a040e00188b506f72476a6b593f5e533dfcc36a2a548bd3f54b
04_OPERATION/recipe_master/tools/dc_recipe_3042_recipe_yml_draft_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,14298,2026-06-18T18:15:54.103719+00:00,e8d4647b3bf9c354dfd0218d0bc5d1af995140053204cdc9ca6bf12ea7cbf1dc
04_OPERATION/recipe_master/tools/dc_recipe_3042_recipe_yml_qa_v1.py,SCRIPT_UNKNOWN_REVIEW,TOOL,,,10885,2026-06-18T18:25:03.680048+00:00,97737d2185633c5367f79fdbdbfca5dfb94e460a89b660993048ef5ceee1929b
